iter	Passed	Remaining
836	5712	1112
837	5718	1105
838	5724	1098
839	5731	1091
840	5738	1084
841	5744	1077
842	5749	1070
843	5758	1064
844	5764	1057
845	5771	1050
846	5777	1043
847	5784	1036
848	5789	1029
849	5796	1022
850	5804	1016
851	5812	1009
852	5820	1003
853	5832	997
854	5840	990
855	5848	983
856	5857	977
857	5864	970
858	5871	963
859	5877	956
860	5883	949
861	5888	942
862	5896	936
863	5904	929
864	5911	922
865	5918	915
866	5924	908
867	5930	901
868	5936	894
869	5944	888
870	5950	881
871	5957	874
872	5962	867
873	5968	860
874	5975	853
875	5982	846
876	5989	839
877	5994	832
878	6001	826
879	6008	819
880	6015	812
881	6021	805
882	6027	798
883	6033	791
884	6042	785
885	6050	778
886	6057	771
887	6064	764
888	6070	758
889	6076	751
890	6082	744
891	6089	737
892	6096	730
893	6101	723
894	6108	716
895	6115	709
896	6122	703
897	6129	696
898	6134	689
899	6141	682
900	6148	675
901	6155	668
902	6162	662
903	6168	655
904	6175	648
905	6182	641
906	6188	634
907	6195	627
908	6200	620
909	6207	613
910	6213	607
911	6220	600
912	6225	593
913	6231	586
914	6238	579
915	6244	572
916	6251	565
917	6257	558
918	6264	552
919	6271	545
920	6279	538
921	6286	531
922	6293	524
923	6299	518
924	6306	511
925	6314	504
926	6323	497
927	6330	491
928	6338	484
929	6345	477
930	6354	470
931	6361	464
932	6368	457
933	6375	450
934	6381	443
935	6387	436
936	6394	429
937	6400	423
938	6407	416
939	6413	409
940	6421	402
941	6431	395
942	6437	389
943	6444	382
944	6450	375
945	6456	368
946	6462	361
947	6469	354
948	6475	348
949	6482	341
950	6487	334
951	6494	327
952	6500	320
953	6507	313
954	6512	306
955	6519	300
956	6525	293
957	6532	286
958	6538	279
959	6544	272
960	6551	265
961	6557	259
962	6564	252
963	6570	245
964	6576	238
965	6583	231
966	6590	224
967	6597	218
968	6603	211
969	6609	204
970	6616	197
971	6623	190
972	6629	183
973	6635	177
974	6641	170
975	6648	163
976	6655	156
977	6660	149
978	6667	143
979	6674	136
980	6680	129
981	6686	122
982	6692	115
983	6699	108
984	6706	102
985	6713	95
986	6719	88
987	6724	81
988	6731	74
989	6737	68
990	6744	61
991	6751	54
992	6757	47
993	6764	40
994	6772	34
995	6780	27
996	6788	20
997	6796	13
998	6803	6
999	6810	0
